subject,epoch,min_cluster_size,n_clusters,n_noise
sub-010002,ep00,3,2,179
sub-010002,ep00,5,7,1530
sub-010002,ep00,7,4,1615
sub-010002,ep00,8,3,1623
sub-010002,ep00,10,2,1679
sub-010002,ep00,20,2,1656
sub-010002,ep00,30,0,1772
sub-010002,ep00,50,0,1772
sub-010002,ep00,100,0,1772
sub-010002,ep00,150,0,1772
sub-010002,ep00,200,0,1772
sub-010002,ep01,3,3,128
sub-010002,ep01,5,2,1555
sub-010002,ep01,7,2,1607
sub-010002,ep01,8,3,1669
sub-010002,ep01,10,3,1714
sub-010002,ep01,20,0,1767
sub-010002,ep01,30,0,1767
sub-010002,ep01,50,0,1767
sub-010002,ep01,100,0,1767
sub-010002,ep01,150,0,1767
sub-010002,ep01,200,0,1767
sub-010002,ep02,3,2,118
sub-010002,ep02,5,2,1325
sub-010002,ep02,7,2,1333
sub-010002,ep02,8,2,1647
sub-010002,ep02,10,2,1727
sub-010002,ep02,20,0,1787
sub-010002,ep02,30,0,1787
sub-010002,ep02,50,0,1787
sub-010002,ep02,100,0,1787
sub-010002,ep02,150,0,1787
sub-010002,ep02,200,0,1787
sub-010002,ep03,3,2,64
sub-010002,ep03,5,10,1677
sub-010002,ep03,7,6,1714
sub-010002,ep03,8,6,1723
sub-010002,ep03,10,2,1705
sub-010002,ep03,20,0,1815
sub-010002,ep03,30,0,1815
sub-010002,ep03,50,0,1815
sub-010002,ep03,100,0,1815
sub-010002,ep03,150,0,1815
sub-010002,ep03,200,0,1815
sub-010002,ep04,3,4,126
sub-010002,ep04,5,2,1377
sub-010002,ep04,7,2,1640
sub-010002,ep04,8,2,1664
sub-010002,ep04,10,2,1704
sub-010002,ep04,20,0,1780
sub-010002,ep04,30,0,1780
sub-010002,ep04,50,0,1780
sub-010002,ep04,100,0,1780
sub-010002,ep04,150,0,1780
sub-010002,ep04,200,0,1780
sub-010002,ep05,3,4,514
sub-010002,ep05,5,2,1171
sub-010002,ep05,7,2,1647
sub-010002,ep05,8,4,1684
sub-010002,ep05,10,2,1653
sub-010002,ep05,20,0,1755
sub-010002,ep05,30,0,1755
sub-010002,ep05,50,0,1755
sub-010002,ep05,100,0,1755
sub-010002,ep05,150,0,1755
sub-010002,ep05,200,0,1755
sub-010002,ep06,3,3,497
sub-010002,ep06,5,2,1471
sub-010002,ep06,7,2,1586
sub-010002,ep06,8,3,1601
sub-010002,ep06,10,3,1606
sub-010002,ep06,20,0,1657
sub-010002,ep06,30,0,1657
sub-010002,ep06,50,0,1657
sub-010002,ep06,100,0,1657
sub-010002,ep06,150,0,1657
sub-010002,ep06,200,0,1657
sub-010003,ep00,3,6,48
sub-010003,ep00,5,3,1093
sub-010003,ep00,7,2,1118
sub-010003,ep00,8,2,1115
sub-010003,ep00,10,2,1099
sub-010003,ep00,20,2,1096
sub-010003,ep00,30,2,1105
sub-010003,ep00,50,0,1247
sub-010003,ep00,100,0,1247
sub-010003,ep00,150,0,1247
sub-010003,ep00,200,0,1247
sub-010003,ep01,3,2,74
sub-010003,ep01,5,2,986
sub-010003,ep01,7,2,1095
sub-010003,ep01,8,2,1086
sub-010003,ep01,10,2,1081
sub-010003,ep01,20,2,1102
sub-010003,ep01,30,2,1099
sub-010003,ep01,50,2,1107
sub-010003,ep01,100,0,1241
sub-010003,ep01,150,0,1241
sub-010003,ep01,200,0,1241
sub-010003,ep02,3,4,298
sub-010003,ep02,5,3,998
sub-010003,ep02,7,2,1059
sub-010003,ep02,8,2,1076
sub-010003,ep02,10,2,1112
sub-010003,ep02,20,2,1071
sub-010003,ep02,30,2,1089
sub-010003,ep02,50,0,1241
sub-010003,ep02,100,0,1241
sub-010003,ep02,150,0,1241
sub-010003,ep02,200,0,1241
sub-010003,ep03,3,3,30
sub-010003,ep03,5,3,1065
sub-010003,ep03,7,2,1139
sub-010003,ep03,8,2,1130
sub-010003,ep03,10,2,1137
sub-010003,ep03,20,2,1154
sub-010003,ep03,30,0,1218
sub-010003,ep03,50,0,1218
sub-010003,ep03,100,0,1218
sub-010003,ep03,150,0,1218
sub-010003,ep03,200,0,1218
sub-010003,ep04,3,2,49
sub-010003,ep04,5,3,1112
sub-010003,ep04,7,2,1086
sub-010003,ep04,8,2,1097
sub-010003,ep04,10,2,1119
sub-010003,ep04,20,2,1120
sub-010003,ep04,30,2,1123
sub-010003,ep04,50,0,1236
sub-010003,ep04,100,0,1236
sub-010003,ep04,150,0,1236
sub-010003,ep04,200,0,1236
sub-010003,ep05,3,3,176
sub-010003,ep05,5,3,1022
sub-010003,ep05,7,2,1075
sub-010003,ep05,8,2,1094
sub-010003,ep05,10,2,1180
sub-010003,ep05,20,2,1183
sub-010003,ep05,30,2,1189
sub-010003,ep05,50,0,1288
sub-010003,ep05,100,0,1288
sub-010003,ep05,150,0,1288
sub-010003,ep05,200,0,1288
sub-010003,ep06,3,4,455
sub-010003,ep06,5,2,780
