subject,epoch,min_cluster_size,n_peaks,n_clusters,n_noise
sub-010002,ep00,3,1772,1,438
sub-010002,ep00,5,1772,1,1021
sub-010002,ep00,7,1772,1,1682
sub-010002,ep00,8,1772,1,1685
sub-010002,ep00,10,1772,1,1762
sub-010002,ep00,20,1772,1,1752
sub-010002,ep00,30,1772,1,1742
sub-010002,ep00,50,1772,1,1722
sub-010002,ep00,100,1772,1,1672
sub-010002,ep00,150,1772,1,1622
sub-010002,ep00,200,1772,1,1572
sub-010002,ep01,3,1767,1,127
sub-010002,ep01,5,1767,1,1565
sub-010002,ep01,7,1767,1,1621
sub-010002,ep01,8,1767,1,1621
sub-010002,ep01,10,1767,1,1681
sub-010002,ep01,20,1767,1,1747
sub-010002,ep01,30,1767,1,1736
sub-010002,ep01,50,1767,1,1717
sub-010002,ep01,100,1767,1,1667
sub-010002,ep01,150,1767,1,1617
sub-010002,ep01,200,1767,1,1567
sub-010002,ep02,3,1787,1,380
sub-010002,ep02,5,1787,1,1348
sub-010002,ep02,7,1787,1,1612
sub-010002,ep02,8,1787,1,1642
sub-010002,ep02,10,1787,1,1777
sub-010002,ep02,20,1787,1,1767
sub-010002,ep02,30,1787,1,1757
sub-010002,ep02,50,1787,1,1737
sub-010002,ep02,100,1787,1,1687
sub-010002,ep02,150,1787,1,1637
sub-010002,ep02,200,1787,1,1587
sub-010002,ep03,3,1815,1,319
sub-010002,ep03,5,1815,1,1415
sub-010002,ep03,7,1815,1,1577
sub-010002,ep03,8,1815,1,1663
sub-010002,ep03,10,1815,1,1757
sub-010002,ep03,20,1815,1,1795
sub-010002,ep03,30,1815,1,1785
sub-010002,ep03,50,1815,1,1765
sub-010002,ep03,100,1815,1,1715
sub-010002,ep03,150,1815,1,1665
sub-010002,ep03,200,1815,1,1615
sub-010002,ep04,3,1780,1,288
sub-010002,ep04,5,1780,1,1511
sub-010002,ep04,7,1780,1,1563
sub-010002,ep04,8,1780,1,1611
sub-010002,ep04,10,1780,1,1770
sub-010002,ep04,20,1780,1,1760
sub-010002,ep04,30,1780,1,1750
sub-010002,ep04,50,1780,1,1730
sub-010002,ep04,100,1780,1,1680
sub-010002,ep04,150,1780,1,1630
sub-010002,ep04,200,1780,1,1580
sub-010002,ep05,3,1755,1,303
sub-010002,ep05,5,1755,1,1579
sub-010002,ep05,7,1755,1,1594
sub-010002,ep05,8,1755,1,1612
sub-010002,ep05,10,1755,1,1631
sub-010002,ep05,20,1755,1,1735
sub-010002,ep05,30,1755,1,1721
sub-010002,ep05,50,1755,1,1705
sub-010002,ep05,100,1755,1,1655
sub-010002,ep05,150,1755,1,1605
sub-010002,ep05,200,1755,1,1555
sub-010002,ep06,3,1657,1,307
sub-010002,ep06,5,1657,1,1172
sub-010002,ep06,7,1657,1,1520
sub-010002,ep06,8,1657,1,1547
sub-010002,ep06,10,1657,1,1647
sub-010002,ep06,20,1657,1,1637
sub-010002,ep06,30,1657,1,1627
sub-010002,ep06,50,1657,1,1607
sub-010002,ep06,100,1657,1,1557
sub-010002,ep06,150,1657,1,1507
sub-010002,ep06,200,1657,1,1457
sub-010003,ep00,3,1247,1,58
sub-010003,ep00,5,1247,1,366
sub-010003,ep00,7,1247,1,430
sub-010003,ep00,8,1247,1,1239
sub-010003,ep00,10,1247,1,1235
sub-010003,ep00,20,1247,1,1227
sub-010003,ep00,30,1247,1,1217
sub-010003,ep00,50,1247,1,1197
sub-010003,ep00,100,1247,1,1147
sub-010003,ep00,150,1247,1,1097
sub-010003,ep00,200,1247,1,1047
sub-010003,ep01,3,1241,1,87
sub-010003,ep01,5,1241,1,734
sub-010003,ep01,7,1241,1,1205
sub-010003,ep01,8,1241,1,1233
sub-010003,ep01,10,1241,1,1231
sub-010003,ep01,20,1241,1,1221
sub-010003,ep01,30,1241,1,1211
sub-010003,ep01,50,1241,1,1191
sub-010003,ep01,100,1241,1,1141
sub-010003,ep01,150,1241,1,1091
sub-010003,ep01,200,1241,1,1041
sub-010003,ep02,3,1241,1,29
sub-010003,ep02,5,1241,1,760
sub-010003,ep02,7,1241,1,745
sub-010003,ep02,8,1241,1,1216
sub-010003,ep02,10,1241,1,1231
sub-010003,ep02,20,1241,1,1221
sub-010003,ep02,30,1241,1,1211
sub-010003,ep02,50,1241,1,1191
sub-010003,ep02,100,1241,1,1141
sub-010003,ep02,150,1241,1,1091
sub-010003,ep02,200,1241,1,1041
sub-010003,ep03,3,1218,1,213
sub-010003,ep03,5,1218,1,729
sub-010003,ep03,7,1218,1,1191
sub-010003,ep03,8,1218,1,1189
sub-010003,ep03,10,1218,1,1208
sub-010003,ep03,20,1218,1,1198
sub-010003,ep03,30,1218,1,1188
sub-010003,ep03,50,1218,1,1168
sub-010003,ep03,100,1218,1,1118
sub-010003,ep03,150,1218,1,1068
sub-010003,ep03,200,1218,1,1018
sub-010003,ep04,3,1236,1,217
sub-010003,ep04,5,1236,1,901
sub-010003,ep04,7,1236,1,1229
sub-010003,ep04,8,1236,1,1228
sub-010003,ep04,10,1236,1,1226
sub-010003,ep04,20,1236,1,1216
sub-010003,ep04,30,1236,1,1206
sub-010003,ep04,50,1236,1,1186
sub-010003,ep04,100,1236,1,1136
sub-010003,ep04,150,1236,1,1086
sub-010003,ep04,200,1236,1,1036
sub-010003,ep05,3,1288,1,182
sub-010003,ep05,5,1288,1,621
sub-010003,ep05,7,1288,1,969
sub-010003,ep05,8,1288,1,992
sub-010003,ep05,10,1288,1,1278
sub-010003,ep05,20,1288,1,1268
sub-010003,ep05,30,1288,1,1258
sub-010003,ep05,50,1288,1,1238
sub-010003,ep05,100,1288,1,1188
sub-010003,ep05,150,1288,1,1138
sub-010003,ep05,200,1288,1,1088
sub-010003,ep06,3,1182,1,239
sub-010003,ep06,5,1182,1,1141
sub-010003,ep06,7,1182,1,1175
sub-010003,ep06,8,1182,1,1173
sub-010003,ep06,10,1182,1,1170
sub-010003,ep06,20,1182,1,1162
sub-010003,ep06,30,1182,1,1152
sub-010003,ep06,50,1182,1,1132
sub-010003,ep06,100,1182,1,1082
sub-010003,ep06,150,1182,1,1032
sub-010003,ep06,200,1182,1,982
sub-010004,ep00,3,1584,1,98
sub-010004,ep00,5,1584,1,1228
sub-010004,ep00,7,1584,1,1301
sub-010004,ep00,8,1584,1,1306
sub-010004,ep00,10,1584,1,1353
sub-010004,ep00,20,1584,1,1558
sub-010004,ep00,30,1584,1,1554
sub-010004,ep00,50,1584,1,1534
sub-010004,ep00,100,1584,1,1484
sub-010004,ep00,150,1584,1,1434
sub-010004,ep00,200,1584,1,1384
sub-010004,ep01,3,1424,1,296
sub-010004,ep01,5,1424,1,988
sub-010004,ep01,7,1424,1,1330
sub-010004,ep01,8,1424,1,1351
sub-010004,ep01,10,1424,1,1414
sub-010004,ep01,20,1424,1,1404
sub-010004,ep01,30,1424,1,1394
sub-010004,ep01,50,1424,1,1374
sub-010004,ep01,100,1424,1,1324
sub-010004,ep01,150,1424,1,1274
sub-010004,ep01,200,1424,1,1224
sub-010004,ep02,3,1401,1,336
sub-010004,ep02,5,1401,1,956
sub-010004,ep02,7,1401,1,1320
sub-010004,ep02,8,1401,1,1327
sub-010004,ep02,10,1401,1,1391
sub-010004,ep02,20,1401,1,1381
sub-010004,ep02,30,1401,1,1371
sub-010004,ep02,50,1401,1,1351
sub-010004,ep02,100,1401,1,1301
sub-010004,ep02,150,1401,1,1251
sub-010004,ep02,200,1401,1,1201
sub-010004,ep03,3,1414,1,384
sub-010004,ep03,5,1414,1,1044
sub-010004,ep03,7,1414,1,1289
sub-010004,ep03,8,1414,1,1392
sub-010004,ep03,10,1414,1,1403
sub-010004,ep03,20,1414,1,1394
sub-010004,ep03,30,1414,1,1384
sub-010004,ep03,50,1414,1,1364
sub-010004,ep03,100,1414,1,1314
sub-010004,ep03,150,1414,1,1264
sub-010004,ep03,200,1414,1,1214
sub-010004,ep04,3,1567,1,356
sub-010004,ep04,5,1567,1,872
sub-010004,ep04,7,1567,1,1084
sub-010004,ep04,8,1567,1,1127
sub-010004,ep04,10,1567,1,1036
sub-010004,ep04,20,1567,1,1547
sub-010004,ep04,30,1567,1,1537
sub-010004,ep04,50,1567,1,1517
sub-010004,ep04,100,1567,1,1467
sub-010004,ep04,150,1567,1,1417
sub-010004,ep04,200,1567,1,1367
sub-010004,ep05,3,1436,1,288
sub-010004,ep05,5,1436,1,859
sub-010004,ep05,7,1436,1,1155
sub-010004,ep05,8,1436,1,1266
sub-010004,ep05,10,1436,1,1291
sub-010004,ep05,20,1436,1,1416
sub-010004,ep05,30,1436,1,1406
sub-010004,ep05,50,1436,1,1386
sub-010004,ep05,100,1436,1,1336
sub-010004,ep05,150,1436,1,1286
sub-010004,ep05,200,1436,1,1236
sub-010004,ep06,3,1283,1,396
sub-010004,ep06,5,1283,1,763
sub-010004,ep06,7,1283,1,906
sub-010004,ep06,8,1283,1,954
sub-010004,ep06,10,1283,1,1273
sub-010004,ep06,20,1283,1,1263
sub-010004,ep06,30,1283,1,1253
sub-010004,ep06,50,1283,1,1233
sub-010004,ep06,100,1283,1,1183
sub-010004,ep06,150,1283,1,1133
sub-010004,ep06,200,1283,1,1083
sub-010005,ep00,3,1228,1,179
sub-010005,ep00,5,1228,1,430
sub-010005,ep00,7,1228,1,1221
sub-010005,ep00,8,1228,1,1220
sub-010005,ep00,10,1228,1,1218
sub-010005,ep00,20,1228,1,1208
sub-010005,ep00,30,1228,1,1198
sub-010005,ep00,50,1228,1,1178
sub-010005,ep00,100,1228,1,1128
sub-010005,ep00,150,1228,1,1078
sub-010005,ep00,200,1228,1,1028
sub-010005,ep01,3,1462,1,227
sub-010005,ep01,5,1462,1,1145
sub-010005,ep01,7,1462,1,1147
sub-010005,ep01,8,1462,1,1454
sub-010005,ep01,10,1462,1,1452
sub-010005,ep01,20,1462,1,1442
sub-010005,ep01,30,1462,1,1432
sub-010005,ep01,50,1462,1,1412
sub-010005,ep01,100,1462,1,1362
sub-010005,ep01,150,1462,1,1312
sub-010005,ep01,200,1462,1,1262
sub-010005,ep02,3,1329,1,290
sub-010005,ep02,5,1329,1,405
sub-010005,ep02,7,1329,1,1302
sub-010005,ep02,8,1329,1,1316
sub-010005,ep02,10,1329,1,1317
sub-010005,ep02,20,1329,1,1309
sub-010005,ep02,30,1329,1,1299
sub-010005,ep02,50,1329,1,1279
sub-010005,ep02,100,1329,1,1229
sub-010005,ep02,150,1329,1,1179
sub-010005,ep02,200,1329,1,1129
