
sub-010002 ep00
 min_cluster_size  n_clusters   n_noise
                3           2       179
                5           7      1530
                7           4      1615
                8           3      1623
               10           2      1679
               20           2      1656
               30           0      1772
               50           0      1772
              100           0      1772
              150           0      1772
              200           0      1772

sub-010002 ep01
 min_cluster_size  n_clusters   n_noise
                3           3       128
                5           2      1555
                7           2      1607
                8           3      1669
               10           3      1714
               20           0      1767
               30           0      1767
               50           0      1767
              100           0      1767
              150           0      1767
              200           0      1767

sub-010002 ep02
 min_cluster_size  n_clusters   n_noise
                3           2       118
                5           2      1325
                7           2      1333
                8           2      1647
               10           2      1727
               20           0      1787
               30           0      1787
               50           0      1787
              100           0      1787
              150           0      1787
              200           0      1787

sub-010002 ep03
 min_cluster_size  n_clusters   n_noise
                3           2        64
                5          10      1677
                7           6      1714
                8           6      1723
               10           2      1705
               20           0      1815
               30           0      1815
               50           0      1815
              100           0      1815
              150           0      1815
              200           0      1815

sub-010002 ep04
 min_cluster_size  n_clusters   n_noise
                3           4       126
                5           2      1377
                7           2      1640
                8           2      1664
               10           2      1704
               20           0      1780
               30           0      1780
               50           0      1780
              100           0      1780
              150           0      1780
              200           0      1780

sub-010002 ep05
 min_cluster_size  n_clusters   n_noise
                3           4       514
                5           2      1171
                7           2      1647
                8           4      1684
               10           2      1653
               20           0      1755
               30           0      1755
               50           0      1755
              100           0      1755
              150           0      1755
              200           0      1755

sub-010002 ep06
 min_cluster_size  n_clusters   n_noise
                3           3       497
                5           2      1471
                7           2      1586
                8           3      1601
               10           3      1606
               20           0      1657
               30           0      1657
               50           0      1657
              100           0      1657
              150           0      1657
              200           0      1657

sub-010003 ep00
 min_cluster_size  n_clusters   n_noise
                3           6        48
                5           3      1093
                7           2      1118
                8           2      1115
               10           2      1099
               20           2      1096
               30           2      1105
               50           0      1247
              100           0      1247
              150           0      1247
              200           0      1247

sub-010003 ep01
 min_cluster_size  n_clusters   n_noise
                3           2        74
                5           2       986
                7           2      1095
                8           2      1086
               10           2      1081
               20           2      1102
               30           2      1099
               50           2      1107
              100           0      1241
              150           0      1241
              200           0      1241

sub-010003 ep02
 min_cluster_size  n_clusters   n_noise
                3           4       298
                5           3       998
                7           2      1059
                8           2      1076
               10           2      1112
               20           2      1071
               30           2      1089
               50           0      1241
              100           0      1241
              150           0      1241
              200           0      1241

sub-010003 ep03
 min_cluster_size  n_clusters   n_noise
                3           3        30
                5           3      1065
                7           2      1139
                8           2      1130
               10           2      1137
               20           2      1154
               30           0      1218
               50           0      1218
              100           0      1218
              150           0      1218
              200           0      1218

sub-010003 ep04
 min_cluster_size  n_clusters   n_noise
                3           2        49
                5           3      1112
                7           2      1086
                8           2      1097
               10           2      1119
               20           2      1120
               30           2      1123
               50           0      1236
              100           0      1236
              150           0      1236
              200           0      1236

sub-010003 ep05
 min_cluster_size  n_clusters   n_noise
                3           3       176
                5           3      1022
                7           2      1075
                8           2      1094
               10           2      1180
               20           2      1183
               30           2      1189
               50           0      1288
              100           0      1288
              150           0      1288
              200           0      1288

sub-010003 ep06
 min_cluster_size  n_clusters   n_noise
                3           4       455
                5           2       780
